35.20440,138.55055,,<center>内房地区の首塚（胴塚）</center><br>今川軍と武田軍との「内房口の戦い」で討死した荻一族と武田兵の首や胴を集めて葬った場所で、小さな二基の五輪塔が建てられています。<br><br><center><img src="illust/kubidoutuka.jpg" width="200" height="140" /></center>
35.23768,138.56424,,<center>織田信長の首塚<br><br><img src="illust/kubituka.jpg" width="200" height="140" /></center>
35.19276,138.65368,,<center>五郎の首洗い井戸</center><br>曽我兄弟の弟・五郎は捕らえられ鎌倉へ送られる途中、工藤祐経の遺児に斬首を強く請われ、ここで刑が執行されました。<br><br><center><img src="illust/kubiarai.jpg" width="200" height="140" /></center>
35.34441,138.59697,,<center>団結の碑</center><br>1995年（平成7年）秋、富士宮全市民は〇✕△教富士山総本部の撤退を求めて立ち上がり、4年の歳月を経て、その目的を達成することが出来ました。この間、富士宮全市民は強い団結を通して多くの教訓を学ぶことも出来ました。富士山麓の平和を念願し、ここに全市民が一致団結した記念の碑を刻みます。<br><br><center>1999年（平成11年）6月20日<br>〇✕△教を解参させる<br>富士宮市民の会<br><br><img src="illust/danketu.jpg" width="200" height="140" /></center>
35.22693,138.61012,,<center>徳川家臣のお礼参り</center><br>清水港咸臨丸事件で討たれた徳川家臣の霊が、そのお礼参りに清水港の警護に当たっていた駿州赤心隊隊員の●を持って現れる。<br><br><center><img src="illust/oreimairi.jpg" width="200" height="140" /></center>
35.22700,138.61143,,「人は極端に幸福であったり、その逆に不幸であったりすると告白病を患ったりする。そういう時にこそグッと堪えて感情を抑えなければならない。なぜなら他人の身の上話や人生相談は笑いながら聞くものだからだ」<br><br><center>～三島由紀夫～<br><br><img src="illust/kokuhaku.jpg" width="200" height="140" /></center>
35.13532,138.69296,,<center>「てがみ」 寺山修司<br><br>つきよのうみに<br>いちまいの<br>てがみをながして<br>やりました<br><br>つきのひかりに<br>てらされて<br>てがみはあおく<br>なるでしょう<br><br>ひとがさかなと<br>よぶものは<br>みんなだれかの<br>てがみです<br><br><img src="illust/letter.jpg" width="140" height="200" /></center>
35.22711,138.60991,,<center>火をめぐらす鳥</center><br>「魂とは楽器のようなものだ人間の胸のなかに秘められた魂という楽器はひとりでに歌うのではなく外部から訪れたものが鳴らすのだ・・・」<br><br>～大江健三郎さんの短編小説「火をめぐらす鳥」の一節、火をめぐらす鳥とは鶯（うぐいす）のこと～<br><br><center><img src="illust/uguisu.jpg" width="140" height="200" /></center>
35.31383,138.60484,,<center>九七式中戦車　チハ車</center><br>富士宮市若獅子神社に安置されている太平洋戦争で使用された旧日本軍の主力戦車です。太平洋戦争の激戦地サイパンへ出撃し奇跡の復員を果たした下田四郎氏（故人）が私財を投げうって、昭和51年にサイパンの地中に埋まっていた2台を日本に帰還させました。その1台がここ若獅子神社に安置されています。（もう1台は東京の靖国神社に安置されています。）<center><img src="illust/sensya.jpg" width="200" height="140" /></center>
35.20744,138.59372,,<center>摩利支天塚</center><br>ここは明治時代、富士宮市沼久保に住んでいた佐野幸左衛門という人が拾ってきた石を積み上げ摩利支天や馬頭観音を祀った場所です。大きさは周囲64ｍ、高さ8ｍ程あります。佐野幸左衛門という人物、奇人か？偉人か？紙一重です。ここに来ると、どんなことでも、続けることが大事なことだと教えてくれます。<br><br><center><img src="illust/marishiten.jpg" width="200" height="140" /></center>
